#equipment,,,,,,,,,,,
#columns,id,name,part,job,strength,agility,intelligence,skillEffectA,skillEffectB,skillEffectC,description
1,0,0,0,-1,1,1,1,-1,-1,-1,1
2,1,2,0,-1,1,1,1,-1,-1,-1,3
3,2,4,0,-1,1,1,1,-1,-1,-1,5
4,3,6,0,-1,1,1,1,-1,-1,-1,7
5,4,0,0,-1,1,1,1,-1,-1,-1,1
6,5,2,0,-1,1,1,1,-1,-1,-1,3
7,6,4,0,-1,1,1,1,-1,-1,-1,5
8,7,6,0,-1,1,1,1,-1,-1,-1,7
9,8,0,0,-1,1,1,1,-1,-1,-1,1
10,9,2,0,-1,1,1,1,-1,-1,-1,3
11,10,4,0,-1,1,1,1,-1,-1,-1,5
12,11,6,0,-1,1,1,1,-1,-1,-1,7
13,12,0,0,-1,1,1,1,-1,-1,-1,1
14,13,2,0,-1,1,1,1,-1,-1,-1,3
15,14,4,0,-1,1,1,1,-1,-1,-1,5
16,15,6,0,-1,1,1,1,-1,-1,-1,7
17,16,0,0,-1,1,1,1,-1,-1,-1,1
18,17,2,0,-1,1,1,1,-1,-1,-1,3
19,18,4,0,-1,1,1,1,-1,-1,-1,5
20,19,6,0,-1,1,1,1,-1,-1,-1,7
21,20,0,1,-1,1,1,1,-1,-1,-1,1
22,21,2,1,-1,1,1,1,-1,-1,-1,3
23,22,4,1,-1,1,1,1,-1,-1,-1,5
24,23,6,1,-1,1,1,1,-1,-1,-1,7
25,24,0,1,-1,1,1,1,-1,-1,-1,1
26,25,2,1,-1,1,1,1,-1,-1,-1,3
27,26,4,1,-1,1,1,1,-1,-1,-1,5
28,27,6,1,-1,1,1,1,-1,-1,-1,7
29,28,0,2,-1,1,1,1,-1,-1,-1,1
30,29,2,2,-1,1,1,1,-1,-1,-1,3
31,30,4,2,-1,1,1,1,-1,-1,-1,5
32,31,6,2,-1,1,1,1,-1,-1,-1,7
33,32,0,2,-1,1,1,1,-1,-1,-1,1
34,33,2,2,-1,1,1,1,-1,-1,-1,3
35,34,4,2,-1,1,1,1,-1,-1,-1,5
36,35,6,2,-1,1,1,1,-1,-1,-1,7
37,36,0,2,-1,1,1,1,-1,-1,-1,1
38,37,2,2,-1,1,1,1,-1,-1,-1,3
39,38,4,2,-1,1,1,1,-1,-1,-1,5
40,39,6,3,-1,1,1,1,-1,-1,-1,7
41,40,0,3,-1,1,1,1,-1,-1,-1,1
42,41,2,3,-1,1,1,1,-1,-1,-1,3
43,42,4,3,-1,1,1,1,-1,-1,-1,5
44,43,6,3,-1,1,1,1,-1,-1,-1,7
45,44,0,3,-1,1,1,1,-1,-1,-1,1
46,45,2,3,-1,1,1,1,-1,-1,-1,3
47,46,4,3,-1,1,1,1,-1,-1,-1,5
48,47,6,3,-1,1,1,1,-1,-1,-1,7
49,48,0,3,-1,1,1,1,-1,-1,-1,1
50,49,2,4,-1,1,1,1,-1,-1,-1,3
51,50,4,4,-1,1,1,1,-1,-1,-1,5
52,51,6,4,-1,1,1,1,-1,-1,-1,7
53,52,0,4,-1,1,1,1,-1,-1,-1,1
54,53,2,4,-1,1,1,1,-1,-1,-1,3
55,54,4,5,-1,1,1,1,-1,-1,-1,5
56,55,6,5,-1,1,1,1,-1,-1,-1,7
57,56,0,5,-1,1,1,1,-1,-1,-1,1
58,57,2,5,-1,1,1,1,-1,-1,-1,3
59,58,4,5,-1,1,1,1,-1,-1,-1,5
60,59,6,6,-1,1,1,1,-1,-1,-1,7
61,60,0,6,-1,1,1,1,-1,-1,-1,1
62,61,2,6,-1,1,1,1,-1,-1,-1,3
63,62,4,6,-1,1,1,1,-1,-1,-1,5
64,63,6,6,-1,1,1,1,-1,-1,-1,7
65,64,0,7,-1,1,1,1,-1,-1,-1,1
66,65,2,7,-1,1,1,1,-1,-1,-1,3
67,66,4,7,-1,1,1,1,-1,-1,-1,5
68,67,6,7,-1,1,1,1,-1,-1,-1,7
69,68,0,7,-1,1,1,1,-1,-1,-1,1
