#exp,,,,
#columns,id,level,exp,skill
1,0,1,500,50
2,1,2,1000,100
3,2,3,2000,200
4,3,4,4000,400
5,4,5,8000,800
6,5,6,9500,850
7,6,7,11800,1030
8,7,8,14100,1210
9,8,9,16400,1390
10,9,10,18700,1570
11,10,11,21000,1750
12,11,12,23300,1930
13,12,13,25600,2110
14,13,14,27900,2290
15,14,15,30200,2470
16,15,16,32500,2650
17,16,17,34800,2830
18,17,18,37100,3010
19,18,19,39400,3190
20,19,20,41700,3370
21,20,21,44000,3550
22,21,22,46300,3730
23,22,23,48600,3910
24,23,24,50900,4090
25,24,25,53200,4270
26,25,26,55500,4450
27,26,27,57800,4630
28,27,28,60100,4810
29,28,29,62400,4990
30,29,30,64700,5170
31,30,31,67000,5350
32,31,32,69300,5530
33,32,33,71600,5710
34,33,34,73900,5890
35,34,35,76200,6070
36,35,36,78500,6250
37,36,37,80800,6430
38,37,38,83100,6610
39,38,39,85400,6790
40,39,40,87700,6970
41,40,41,90000,7150
42,41,42,92300,7330
43,42,43,94600,7510
44,43,44,96900,7690
45,44,45,99200,7870
46,45,46,101500,8050
47,46,47,103800,8230
48,47,48,106100,8410
49,48,49,108400,8590
50,49,50,110700,8770
51,50,51,113000,8950
52,51,52,115300,9130
53,52,53,117600,9310
54,53,54,119900,9490
55,54,55,122200,9670
56,55,56,124500,9850
57,56,57,126800,10030
58,57,58,129100,10210
59,58,59,131400,10390
60,59,60,133700,10570
