#localization achievement data,,,
#columns,id,english,chinese
1,0,Achi 1,成就1
2,1,Achi 2,成就2
3,2,Achi 3,成就3
4,3,Achi 4,成就4
5,4,Achi 5,成就5
6,5,Achi 6,成就6
7,6,Achi 7,成就7
8,7,Achi 8,成就8
9,8,Achi 9,成就9
10,9,Achi 10,成就10
11,10,Achi 11,成就11
12,11,Achi 12,成就12
13,12,Achi 13,成就13
14,13,Achi 14,成就14
15,14,Achi 15,成就15
16,15,Achi 16,成就16
17,16,Achi 17,成就17
18,17,Achi 18,成就18
19,18,Achi 19,成就19
20,19,Achi 20,成就20
21,20,Achi 21,成就21
22,21,Achi 22,成就22
23,22,Achi 23,成就23
24,23,Achi 24,成就24
25,24,Achi 25,成就25
26,25,Achi 26,成就26
27,26,Achi 27,成就27
28,27,Achi 28,成就28
29,28,Achi 29,成就29
30,29,Achi 30,成就30
31,30,Achi 31,成就31
32,31,Achi 32,成就32
33,32,Achi 33,成就33
34,33,Achi 34,成就34
35,34,Achi 35,成就35
36,35,Achi 36,成就36
37,36,Achi 37,成就37
38,37,Achi 38,成就38
39,38,Achi 39,成就39
40,39,Achi 40,成就40
41,40,Achi 41,成就41
42,41,Achi 42,成就42
43,42,Achi 43,成就43
44,43,Achi 44,成就44
45,44,Achi 45,成就45
46,45,Achi 46,成就46
47,46,Achi 47,成就47
48,47,Achi 48,成就48
49,48,Achi 49,成就49
50,49,Achi 50,成就50
51,50,Achi 51,成就51
52,51,Achi 52,成就52
53,52,Achi 53,成就53
54,53,Achi 54,成就54
55,54,Achi 55,成就55
56,55,Achi 56,成就56
57,56,Achi 57,成就57
58,57,Achi 58,成就58
59,58,Achi 59,成就59
60,59,Achi 60,成就60
