#localization achievement description data,,,
#columns,id,english,chinese
1,0,None, 无
2,1,"The total number of enemy heroes which are repeled on the battlefield.
",战场中击退敌方英雄总数 {0} / {1}.
3,2,The total number of enemy heroes which are injured on the battlefield.,战场中伤退英雄总数 {0} / {1}.
4,3,The total number of cost coins in the game.,游戏中金币累积支出数 {0} / {1}.
5,4,The total number of cost diamond in the game.,游戏中钻石累积支出数 {0} / {1}.
6,5,The total number of consum which are used in the game.,游戏中消耗品累积使用数 {0} / {1}.
7,6,The total number of fighting in the game.,游戏中征战累积次数 {0} / {1}.
8,7,The total number of skill upgrade in the game.,游戏中技能升级累积次数 {0} / {1}.
9,8,The total number of throw's item in the game.,游戏中累积丢弃物品数 {0} / {1}.
10,9,The total number of win in the game.,游戏中累积胜利数 {0} / {1}.
11,10,The total number of defeated in the game.,游戏中累积失败数 {0} / {1}.
