#localization,,,
#columns,id,english,chinese
1,0,ID,索引
2,1,Power,战力
3,2,Name,名称
4,3,Level,等级
5,4,Max Exp,最大经验值
6,5,Exp,经验值
7,6,Skill Level,技能等级
8,7,Max Skill Exp,最大技能经验
9,8,Skill Exp,技能经验值
10,9,Max Hp,最大血量
11,10,Hp,血量
12,11,Max Mp,最大能量
13,12,Mp,能量
14,13,Mood,心情
15,14,Speed,速度
16,15,Strength,力量
17,16,Agility,敏捷
18,17,Intelligence,智力
19,18,Physics Attack,物理攻击
20,19,Magic Attack,魔法攻击
21,20,Physics Defense,物理防御
22,21,Magic Defense,魔法防御
23,22,Debarb,回避
24,23,Rotation,旋转
25,24,Direction,方向
26,25,Death Count,死亡数
27,26,Kill Count,击杀数
28,27,UsedSkill Point,已使用技能点
29,28,Tota lSkill Point,技能点总数
30,29,Camp,阵营
31,30,Output,资源产出量
32,31,Coins,金币
33,32,Diamond,钻石
34,33,Belief,信仰
35,34,Food,食物
36,35,Inventory Level,背包等级
37,36,Sound,音效
38,37,Music,音乐
39,38,Quality,渲染质量
40,39,Language,语言
41,40,All Jobs,全职业
42,41,UpgradeSuccess,升级成功
43,42,Parallel Adventures,平行物语
44,43,Start,开始
45,44,Formation,阵容
46,45,Skill,技能
47,46,Equipment,装备
48,47,Inventory,背包
49,48,Lottery,乐透
50,49,Store,商店
51,50,Achi,成就
52,51,Info,信息
53,52,Depart, 出发
54,53,Item,物品 
55,54,Lv,等级
56,55,Skill Lv,技能等级
57,56,KD,击杀死亡比
58,57,Credits,制作名单
59,58,Use,使用
60,59,Throw,丢弃
61,60,STR,力量
62,61,AGI,敏捷
63,62,INT,智力
64,63,Back,返回
65,64,Draw,抽卡
66,65,Remove Data,清除存档
67,66,TryAgain,再来一次
68,67,Quality,渲染等级
69,68,High,高
70,69,Medium,中
71,70,Low,低 
72,71,English,英语
73,72,Chinese,中文
74,73,Back to lobby,返回大厅
75,74,Reset,重置
76,75,Weapon,武器
77,76,Head,头
78,77,Body,身体
79,78,Leg,腿
80,79,Hand,手
81,80,Foot,足
82,81,Jewelry,首饰
83,82,Wing,翅膀
84,83,Get new card {0},获得新卡牌 {0}
85,84,Get new item {0},获得新物品 {0}
86,85,Inventory full. Do you want pack up it.,背包已满. 是否整理背包?
87,86,Yes,是
88,87,No,否
89,88,Do you want pay {0} diamond to upgrade inventory?,是否花费 {0} 钻石升级背包?
90,89,Not enough resource. Do you want jump to store?,资源不足. 是否跳转商店?
91,90,是否重置技能点?,是否重置技能点?
92,91,Tips,提示
93,92,OK,可以
94,93,Cancel,取消
95,94,Victory,胜利
96,95,Defeat,失败
97,96,Score,得分
98,97,Exit Game,离开游戏
99,98,Points,点数
100,99,ALL,全部
101,100,Completed,已达成
102,101,Kill Count,总击杀数
103,102,Death Count,角色死亡总数
104,103,Coin Cost Count,累积金币支出
105,104,Diamond Cost Count,累积钻石支出
106,105,Fighting Count,累积战斗数
107,106,Consume Cost Count,累积消耗品使用数
108,107,Throw Count,累积丢弃物品数
109,108,Skill Upgrade Count,累积技能升级数
110,109,Win Count,累积胜利数
111,110,Defeated Count,累积失败数
112,111,Create Time,首次游戏时间
113,112,Title,称号
114,113,Story Mode,故事模式
115,114,Athletics Mode,竞技模式
116,115,Producer,制作人
117,116,Programmer,程序
118,117,Designer,策划
119,118,Artist,美术
120,119,Special Thanks,特别鸣谢
121,120,Chen xiao lei,陈潇磊
122,121,Zhang hao yu,张浩宇
123,122,Xu qing qing,徐青青
124,123,Xu ping,徐平
125,124,Mail,邮箱
126,125,Do you want upgrade skill?,是否升级此技能?
127,126,Do you want set the adventurous hero Because the current is empty.,当前未设置冒险角色. 是否前往设置?
128,127,Move,移动
129,128,Attack,攻击
130,129,Support,支援
131,130,Defense,防御
132,131,Pursuit,追击
133,132,Retreat,撤退
134,133,Ambush,伏击
135,134,Detail,详情
136,135,Village,据点
137,136,Res Point,资源点
138,137,Change,变更
139,138,Doge,格挡
