#localization title data,,,
#columns,id,english,chinese
1,0,Novice,新人
2,1,Title 1,称号1
3,2,Title 2,称号2
4,3,Title 3,称号3
5,4,Title 4,称号4
6,5,Title 5,称号5
7,6,Title 6,称号6
8,7,Title 7,称号7
9,8,Title 8,称号8
10,9,Title 9,称号9
11,10,Title 10,称号10
12,11,Title 11,称号11
13,12,Title 12,称号12
14,13,Title 13,称号13
15,14,Title 14,称号14
16,15,Title 15,称号15
17,16,Title 16,称号16
18,17,Title 17,称号17
19,18,Title 18,称号18
20,19,Title 19,称号19
21,20,Title 20,称号20
22,21,Title 21,称号21
23,22,Title 22,称号22
24,23,Title 23,称号23
25,24,Title 24,称号24
26,25,Title 25,称号25
27,26,Title 26,称号26
28,27,Title 27,称号27
29,28,Title 28,称号28
30,29,Title 29,称号29
31,30,Title 30,称号30
32,31,Title 31,称号31
33,32,Title 32,称号32
34,33,Title 33,称号33
35,34,Title 34,称号34
36,35,Title 35,称号35
37,36,Title 36,称号36
38,37,Title 37,称号37
39,38,Title 38,称号38
40,39,Title 39,称号39
41,40,Title 40,称号40
42,41,Title 41,称号41
43,42,Title 42,称号42
44,43,Title 43,称号43
45,44,Title 44,称号44
46,45,Title 45,称号45
47,46,Title 46,称号46
48,47,Title 47,称号47
49,48,Title 48,称号48
50,49,Title 49,称号49
51,50,Title 50,称号50
52,51,Title 51,称号51
53,52,Title 52,称号52
54,53,Title 53,称号53
55,54,Title 54,称号54
56,55,Title 55,称号55
57,56,Title 56,称号56
58,57,Title 57,称号57
59,58,Title 58,称号58
60,59,Title 59,称号59
61,60,Title 60,称号60
