#localization title description data,,,
#columns,id,english,chinese
1,0,None,无 
2,1,None,无 
3,2,None,无 
4,3,None,无 
5,4,None,无 
6,5,None,无 
7,6,None,无 
8,7,None,无 
9,8,None,无 
10,9,None,无 
11,10,None,无 
12,11,None,无 
13,12,None,无 
14,13,None,无 
15,14,None,无 
16,15,None,无 
17,16,None,无 
18,17,None,无 
19,18,None,无 
20,19,None,无 
21,20,None,无 
22,21,None,无 
23,22,None,无 
24,23,None,无 
25,24,None,无 
26,25,None,无 
27,26,None,无 
28,27,None,无 
29,28,None,无 
30,29,None,无 
31,30,None,无 
32,31,None,无 
33,32,None,无 
34,33,None,无 
35,34,None,无 
36,35,None,无 
37,36,None,无 
38,37,None,无 
39,38,None,无 
40,39,None,无 
41,40,None,无 
42,41,None,无 
43,42,None,无 
44,43,None,无 
45,44,None,无 
46,45,None,无 
47,46,None,无 
48,47,None,无 
49,48,None,无 
50,49,None,无 
51,50,None,无 
52,51,None,无 
53,52,None,无 
54,53,None,无 
55,54,None,无 
56,55,None,无 
57,56,None,无 
58,57,None,无 
59,58,None,无 
60,59,None,无 
61,60,None,无 
