#unit,,,,,,,,,,
#columns,id,key,name,strength,agility,intelligence,demandA,demandB,demandC,description
1,0,0,0,1,1,1,-1,-1,-1,1
2,1,1,0,1,1,1,-1,-1,-1,1
3,2,2,0,1,1,1,-1,-1,-1,1
4,3,3,0,1,1,1,-1,-1,-1,1
5,4,4,0,1,1,1,-1,-1,-1,1
6,5,5,0,1,1,1,-1,-1,-1,1
7,6,6,0,1,1,1,-1,-1,-1,1
8,7,7,0,1,1,1,-1,-1,-1,1
9,8,8,0,1,1,1,-1,-1,-1,1
10,9,9,0,1,1,1,-1,-1,-1,1
11,10,100,2,1,1,1,-1,-1,-1,3
12,11,101,2,1,1,1,-1,-1,-1,3
13,12,102,2,1,1,1,-1,-1,-1,3
14,13,103,2,1,1,1,-1,-1,-1,3
15,14,104,2,1,1,1,-1,-1,-1,3
16,15,105,2,1,1,1,-1,-1,-1,3
17,16,106,2,1,1,1,-1,-1,-1,3
18,17,107,2,1,1,1,-1,-1,-1,3
19,18,108,2,1,1,1,-1,-1,-1,3
20,19,109,2,1,1,1,-1,-1,-1,3
21,20,200,4,1,1,1,-1,-1,-1,5
22,21,201,4,1,1,1,-1,-1,-1,5
23,22,202,4,1,1,1,-1,-1,-1,5
24,23,203,4,1,1,1,-1,-1,-1,5
25,24,204,4,1,1,1,-1,-1,-1,5
26,25,205,4,1,1,1,-1,-1,-1,5
27,26,206,4,1,1,1,-1,-1,-1,5
28,27,207,4,1,1,1,-1,-1,-1,5
29,28,208,4,1,1,1,-1,-1,-1,5
30,29,209,4,1,1,1,-1,-1,-1,5
31,30,300,6,1,1,1,-1,-1,-1,7
32,31,301,6,1,1,1,-1,-1,-1,7
33,32,302,6,1,1,1,-1,-1,-1,7
34,33,303,6,1,1,1,-1,-1,-1,7
35,34,304,6,1,1,1,-1,-1,-1,7
36,35,305,6,1,1,1,-1,-1,-1,7
37,36,306,6,1,1,1,-1,-1,-1,7
38,37,307,6,1,1,1,-1,-1,-1,7
39,38,308,6,1,1,1,-1,-1,-1,7
40,39,309,6,1,1,1,-1,-1,-1,7
